"","county","year","sex","CAUSE","Level","Ndeaths","YLL","m.YLL","mean.age","pop","YLLper","YLLrateLCI","YLLrateUCI","cDeathRate","rateLCI","rateUCI","SMR","aRate","aLCI","aUCI","YLL.adj.rate"
"65","Alameda",2001,"Total",160,"gbd36",296,9880,33.38,59.75,1466000,674.1,660.8,687.4,20.2,17.9,22.5,0.9392,21.98,19.53,24.68,700.4
"66","Alameda",2001,"Total",167,"gbd36",272,6524,23.98,70.59,1466000,445.1,434.3,455.9,18.56,16.35,20.77,1.05,21.61,19.1,24.36,486
"67","Alameda",2001,"Total",168,"gbd36",384,5880,15.31,80.46,1466000,401.2,390.9,411.4,26.2,23.58,28.82,1.048,31.8,28.69,35.15,472.8
"68","Alameda",2001,"Total",178,"gbd36",42,911.1,21.69,72.95,1466000,62.17,58.13,66.21,2.866,1.999,3.732,2.169,3.36,2.418,4.559,69.59
"69","Alameda",2001,"Total",179,"gbd36",134,3686,27.5,66.52,1466000,251.5,243.4,259.6,9.143,7.595,10.69,1.133,10.44,8.736,12.39,266.5
"70","Alameda",2001,"Total",185,"gbd36",100,7745,77.45,14.8,1466000,528.5,516.7,540.3,6.823,5.486,8.161,0.8807,7.06,5.74,8.614,537.9
"71","Alameda",2001,"Total",198,"gbd36",548,22140,40.4,53.03,1466000,1511,1491,1530,37.39,34.26,40.52,0.8543,40.39,37.05,43.96,1535
"72","Alameda",2001,"Total",208,"gbd36",216,9248,42.82,50.04,1466000,631,618.2,643.9,14.74,12.77,16.7,0.7811,15.37,13.37,17.6,625
"73","Alameda",2001,"Total",209,"gbd36",212,12820,60.47,31.7,1466000,874.8,859.6,889.9,14.47,12.52,16.41,1.085,13.56,11.78,15.55,816.9
"74","Alameda",2001,"Total",210,"gbd36",4,179.3,44.82,47.5,1466000,12.23,10.44,14.02,0.2729,0.005464,0.5404,0,0.262,0.0714,0.723,11.74
