"","comID","yearG","sex","CAUSE","county","Ndeaths","YLL","m.YLL","mean.age","Level","pop","YLLper","YLLrateLCI","YLLrateUCI","cDeathRate","rateLCI","rateUCI","comName","oDeaths","aRate","aLCI","aUCI","YLL.adj.rate"
"42","116n","2011-2015","Total","0","Orange",3484,65240,18.72,76.54,"lev0",126600,10310,10230,10390,550.5,532.2,568.8,"Anaheim Hills/City of Orange East/Villa Park",3484,549.4,531,568.2,9773
"43","116o","2011-2015","Total","0","Orange",1791,37120,20.73,74.29,"lev0",93260,7961,7880,8042,384.1,366.3,401.9,"Irvine Central/Tustin East",1791,435,414.9,455.9,8305
"44","116p","2011-2015","Total","0","Orange",3123,64680,20.71,74.4,"lev0",110600,11700,11610,11790,564.8,545,584.6,"Costa Mesa",3123,677.2,653.2,701.9,13310
"45","116q","2011-2015","Total","0","Orange",3173,71250,22.46,72.31,"lev0",125200,11380,11300,11460,506.8,489.2,524.5,"Anaheim East/City of Orange North/Placentia Southwest",3173,672,648.4,696.2,13290
"46","116r","2011-2015","Total","0","Orange",3682,77190,20.97,74,"lev0",128300,12030,11940,12110,573.8,555.2,592.3,"Garden Grove North/Stanton",3682,619.1,599,639.7,12880
"47","116s","2011-2015","Total","0","Orange",3863,84140,21.79,72.95,"lev0",127000,13250,13160,13340,608.2,589,627.4,"Huntington Beach North/Seal Beach East/Westminster",3865,595,576.3,614.2,12840
"48","116t","2011-2015","Total","0","Orange",2843,54090,19.03,76.07,"lev0",82230,13160,13050,13270,691.5,666.1,716.9,"Huntington Beach South",2843,578.9,557.5,601.2,11350
"49","116u","2011-2015","Total","0","Orange",4458,72490,16.26,79.39,"lev0",87650,16540,16420,16660,1017,987.4,1047,"Huntington Beach West/Seal Beach West",4458,557.1,540,574.9,11040
"50","116v","2011-2015","Total","0","Orange",1784,40410,22.65,72.2,"lev0",113800,7101,7031,7170,313.5,298.9,328,"Foothill Ranch/IrvineNortheast/Lake Forest West/Portola Hills/Tustin East",1785,450.5,429.1,472.9,8764
"51","117","2011-2015","Total","0","Placer",179,5427,30.32,63.53,"lev0",12720,8530,8303,8757,281.4,240.1,322.6,"Dollar Point/Kings Beach/Sunnyside/Tahoe City/Tahoe Vista",210,420.2,356.6,493.6,9584
"52","118","2011-2015","Total","0","Placer",1305,26080,19.98,74.95,"lev0",27260,19130,18900,19360,957.5,905.6,1009,"Colfax/Meadow Vista",1305,611.8,577.2,648.9,13970
"53","119","2011-2015","Total","0","Placer",4544,82850,18.23,77.02,"lev0",92270,17960,17840,18080,985,956.3,1014,"Auburn/Newcastle/Lincoln/Sheridan",4563,621.5,602.9,640.7,13320
