"","year","GEOID","sex","raceName","lAge","population","deaths","life_expectancy","LE_lci","LE_uci"
"287",2017,"6039","TOTAL","Total",0,11775.7565842912,61,80.8987770705255,80.4867765066111,81.3107776344399
"288",2017,"6039","TOTAL","Total",50,46933.4475971317,208,33.697765653125,33.3312372109634,34.0642940952867
"289",2017,"6039","TOTAL","White",0,2402.48482523,13,79.2861528554762,78.6976908002214,79.8746149107311
"290",2017,"6039","TOTAL","White",50,20158.57238251,103,32.3173736085138,31.8988050553858,32.7359421616418
"291",2017,"6041","FEMALE","Total",0,5547.7196347046,0,87.3690008543039,87.0580895274048,87.6799121812031
"292",2017,"6041","FEMALE","Total",50,51877.868753976,81,37.7672340246909,37.46839298144,38.0660750679418
"293",2017,"6041","FEMALE","White",0,2710.92727763,0,87.0821422574374,86.7470137110436,87.4172708038313
"294",2017,"6041","FEMALE","White",50,38363.6463073,54,37.4949926234612,37.1835344619588,37.8064507849637
"295",2017,"6041","MALE","Total",0,5759.9493861416,0,83.2774173429809,82.9087900761204,83.6460446098415
"296",2017,"6041","MALE","Total",50,48975.654413957,116,35.0709546090356,34.758384089666,35.3835251284053
"297",2017,"6041","MALE","White",0,2816.56920761,0,83.101021944541,82.6695759260282,83.5324679630538
"298",2017,"6041","MALE","White",50,36520.4259102,81,34.9058595080648,34.5828714892515,35.2288475268781
"299",2017,"6041","TOTAL","Total",0,11307.6690208462,0,85.2119823564097,84.9620843935666,85.4618803192529
"300",2017,"6041","TOTAL","Total",50,100853.523167933,197,36.5096376759329,36.2921491735245,36.7271261783413
"301",2017,"6041","TOTAL","White",0,5527.49648524,0,84.7606626283305,84.4631278338166,85.0581974228443
"302",2017,"6041","TOTAL","White",50,74884.0722175,135,36.2785354459617,36.0526716762734,36.5043992156499
"303",2017,"6043","TOTAL","Total",0,778.8197665839,0,84.4698255056431,83.4916502817131,85.448000729573
"304",2017,"6043","TOTAL","Total",50,6454.2883721833,36,35.0519142683814,34.1037289472577,36.000099589505
"305",2017,"6043","TOTAL","White",0,560.402273566,0,83.9122935475983,83.0066554083455,84.8179316868511
"306",2017,"6043","TOTAL","White",50,5373.452435044,31,33.9122935475983,33.0066554083455,34.8179316868511
"307",2017,"6045","FEMALE","Total",0,2393.2019097542,0,83.8761100415095,83.2576924316067,84.4945276514123
