year,county,Ndeaths,GEOID
2005,Fresno,31,6019002800
2005,Fresno,37,6019002903
2005,Fresno,21,6019002904
2005,Fresno,10,6019002905
2005,Fresno,34,6019002906
2005,Fresno,16,6019003001
2005,Fresno,33,6019003003
2005,Fresno,15,6019003004
2005,Fresno,53,6019003102
2005,Fresno,23,6019003103
2005,Fresno,15,6019003104
2005,Fresno,37,6019003201
2005,Fresno,44,6019003202
2005,Fresno,46,6019003301
2005,Fresno,33,6019003302
2005,Fresno,59,6019003400
2005,Fresno,41,6019003500
2005,Fresno,38,6019003600
2005,Fresno,33,6019003701
2005,Fresno,27,6019003702
2005,Fresno,16,6019003803
2005,Fresno,26,6019003804
2005,Fresno,31,6019003805
2005,Fresno,23,6019003807
2005,Fresno,27,6019003808
2005,Fresno,23,6019003809
2005,Fresno,21,6019003810
2005,Fresno,26,6019003900
2005,Fresno,26,6019004001
2005,Fresno,32,6019004002
2005,Fresno,10,6019004100
2005,Fresno,29,6019004205
2005,Fresno,14,6019004207
2005,Fresno,32,6019004208
2005,Fresno,4,6019004210
2005,Fresno,19,6019004211
2005,Fresno,35,6019004212
2005,Fresno,15,6019004213
2005,Fresno,34,6019004214
2005,Fresno,2,6019004215
2005,Fresno,14,6019004216
2005,Fresno,33,6019004301
2005,Fresno,46,6019004302
2005,Fresno,54,6019004303
2005,Fresno,10,6019004404
2005,Fresno,26,6019004405
2005,Fresno,38,6019004406
2005,Fresno,20,6019004408
2005,Fresno,17,6019004409
2005,Fresno,49,6019004503
2005,Fresno,34,6019004504
2005,Fresno,67,6019004505
2005,Fresno,51,6019004506
2005,Fresno,28,6019004601
2005,Fresno,20,6019004602
2005,Fresno,45,6019004701
2005,Fresno,32,6019004703
2005,Fresno,25,6019004704
2005,Fresno,23,6019004801
2005,Fresno,29,6019004802
2005,Fresno,28,6019004901
2005,Fresno,16,6019004902
2005,Fresno,35,6019005000
2005,Fresno,38,6019005100
2005,Fresno,22,6019005202
2005,Fresno,35,6019005203
2005,Fresno,26,6019005204
2005,Fresno,40,6019005301
2005,Fresno,37,6019005302
2005,Fresno,15,6019005304
2005,Fresno,32,6019005305
2005,Fresno,9,6019005403
2005,Fresno,52,6019005405
2005,Fresno,39,6019005406
2005,Fresno,24,6019005407
2005,Fresno,19,6019005409
2005,Fresno,28,6019005410
2005,Fresno,29,6019005503
2005,Fresno,2,6019005504
2005,Fresno,15,6019005505
2005,Fresno,30,6019005507
2005,Fresno,21,6019005508
2005,Fresno,21,6019005509
2005,Fresno,96,6019005510
2005,Fresno,12,6019005512
2005,Fresno,9,6019005513
2005,Fresno,40,6019005514
2005,Fresno,13,6019005515
2005,Fresno,27,6019005516
2005,Fresno,23,6019005517
2005,Fresno,1,6019005518
2005,Fresno,4,6019005520
2005,Fresno,4,6019005522
2005,Fresno,11,6019005524
2005,Fresno,7,6019005525
2005,Fresno,55,6019005602
2005,Fresno,8,6019005605
2005,Fresno,19,6019005606
2005,Fresno,30,6019005607
2005,Fresno,42,6019005608
2005,Fresno,29,6019005701
2005,Fresno,22,6019005702
2005,Fresno,38,6019005703
2005,Fresno,18,6019005704
2005,Fresno,42,6019005801
2005,Fresno,38,6019005802
2005,Fresno,40,6019005804
2005,Fresno,10,6019005805
2005,Fresno,17,6019005904
2005,Fresno,31,6019005905
2005,Fresno,14,6019005906
2005,Fresno,10,6019005907
2005,Fresno,8,6019005909
2005,Fresno,8,6019005911
2005,Fresno,16,6019005912
2005,Fresno,50,6019006000
2005,Fresno,41,6019006100
2005,Fresno,7,6019006201
2005,Fresno,18,6019006202
2005,Fresno,25,6019006300
2005,Fresno,20,6019006402
2005,Fresno,53,6019006403
2005,Fresno,33,6019006404
2005,Fresno,51,6019006405
2005,Fresno,18,6019006501
2005,Tulare,2,6019006501
2005,Fresno,16,6019006502
2005,Fresno,41,6019006602
2005,Fresno,12,6019006603
2005,Fresno,25,6019006604
2005,Fresno,61,6019006700
2005,Fresno,21,6019006802
2005,Fresno,19,6019006900
2005,Fresno,25,6019007002
2005,Fresno,60,6019007003
2005,Fresno,43,6019007004
2005,Fresno,42,6019007100
2005,Fresno,54,6019007201
2005,Fresno,36,6019007202
2005,Fresno,29,6019007300
2005,Fresno,12,6019007400
2005,Fresno,30,6019007500
2005,Fresno,26,6019007600
2005,Fresno,33,6019007700
2005,Riverside,1,6019007700
2005,Fresno,6,6019007801
2005,Fresno,5,6019007802
2005,Fresno,12,6019007901
2005,Fresno,3,6019007902
