OID_TRACT_20|GEOID_TRACT_20|NAMELSAD_TRACT_20|AREALAND_TRACT_20|AREAWATER_TRACT_20|MTFCC_TRACT_20|FUNCSTAT_TRACT_20|OID_TRACT_10|GEOID_TRACT_10|NAMELSAD_TRACT_10|AREALAND_TRACT_10|AREAWATER_TRACT_10|MTFCC_TRACT_10|FUNCSTAT_TRACT_10|AREALAND_PART|AREAWATER_PART
20790141324041|06001408900|Census Tract 4089|827293|0|G5020|S|20740141324041|06001408900|Census Tract 4089|802406|0|G5020|S|802406|0
20790141323825|06001409000|Census Tract 4090|16913353|4389442|G5020|S|20740141323825|06001409000|Census Tract 4090|16502514|4559372|G5020|S|16458654|4384380
20790141323825|06001409000|Census Tract 4090|16913353|4389442|G5020|S|20740141323824|06001428301|Census Tract 4283.01|4706524|1460847|G5020|S|415084|5062
20790141323825|06001409000|Census Tract 4090|16913353|4389442|G5020|S|20740141323986|06001432400|Census Tract 4324|6441974|1352197|G5020|S|39615|0
20790141324068|06001409100|Census Tract 4091|490550|0|G5020|S|20740141324068|06001409100|Census Tract 4091|490550|0|G5020|S|490550|0
20790141323991|06001409200|Census Tract 4092|706471|0|G5020|S|20740141323991|06001409200|Census Tract 4092|723316|0|G5020|S|706137|0
20790141323991|06001409200|Census Tract 4092|706471|0|G5020|S|207403717158467|06001432502|Census Tract 4325.02|813608|0|G5020|S|334|0
20790141324105|06001409300|Census Tract 4093|1076042|0|G5020|S|20740141324105|06001409300|Census Tract 4093|1076941|0|G5020|S|1076042|0
20790141324078|06001409400|Census Tract 4094|1253618|0|G5020|S|20740141324078|06001409400|Census Tract 4094|1253618|0|G5020|S|1253618|0
20790141323902|06001409500|Census Tract 4095|836611|0|G5020|S|20740141323902|06001409500|Census Tract 4095|836611|0|G5020|S|836611|0
20790141324029|06001409600|Census Tract 4096|747478|0|G5020|S|20740141324029|06001409600|Census Tract 4096|747478|0|G5020|S|747478|0
20790141324073|06001409700|Census Tract 4097|811103|0|G5020|S|20740141324073|06001409700|Census Tract 4097|811103|0|G5020|S|811103|0
20790141323903|06001409800|Census Tract 4098|1790229|0|G5020|S|20740141323903|06001409800|Census Tract 4098|1790229|0|G5020|S|1790229|0
20790141324047|06001409900|Census Tract 4099|4315219|0|G5020|S|20740141324047|06001409900|Census Tract 4099|4481587|0|G5020|S|4310656|0
20790141324047|06001409900|Census Tract 4099|4315219|0|G5020|S|207403717159023|06001430102|Census Tract 4301.02|76807981|3519002|G5020|S|4563|0
20790141323813|06001410000|Census Tract 4100|6550967|145283|G5020|S|20740141323813|06001410000|Census Tract 4100|6802054|139200|G5020|S|6505328|118024
20790141323813|06001410000|Census Tract 4100|6550967|145283|G5020|S|207403717159023|06001430102|Census Tract 4301.02|76807981|3519002|G5020|S|0|27133
